word,frequency,rank
the,133211,1
and,94787,2
of,71173,3
to,47591,4
a,33573,5
in,33391,6
i,28593,7
that,28241,8
he,25408,9
it,21537,10
his,21375,11
for,19396,12
was,18647,13
with,17560,14
not,17281,15
is,16343,16
be,16056,17
you,15878,18
as,14464,19
but,13558,20
all,13557,21
they,12983,22
him,12928,23
shall,11676,24
her,11446,25
my,10462,26
had,10305,27
them,10199,28
have,10100,29
said,9396,30
me,9360,31
at,9134,32
from,9062,33
unto,9010,34
she,8897,35
this,8848,36
which,8742,37
on,8536,38
by,8457,39
lord,8441,40
their,7790,41
so,7704,42
will,7311,43
were,6872,44
are,6838,45
thou,6740,46
when,6296,47
or,6272,48
one,6066,49
there,6032,50
out,5711,51
no,5707,52
thy,5604,53
what,5534,54
if,5181,55
man,5168,56
god,5156,57
your,5088,58
then,5039,59
we,4992,60
up,4955,61
an,4866,62
thee,4792,63
now,4618,64
do,4612,65
ye,4606,66
upon,4581,67
who,4186,68
into,4098,69
more,4036,70
would,4024,71
very,3984,72
come,3609,73
could,3577,74
before,3427,75
been,3402,76
any,3349,77
like,3339,78
came,3330,79
did,3072,80
little,3063,81
day,3054,82
know,3007,83
than,2904,84
every,2874,85
see,2841,86
great,2836,87
these,2834,88
go,2821,89
house,2811,90
king,2808,91
us,2788,92
down,2779,93
people,2772,94
am,2762,95
some,2737,96
made,2734,97
son,2707,98
our,2706,99
say,2702,100
after,2701,101
good,2667,102
time,2637,103
men,2635,104
how,2616,105
about,2582,106
israel,2582,107
let,2571,108
should,2543,109
hath,2535,110
such,2525,111
may,2519,112
over,2509,113
only,2479,114
even,2464,115
hand,2403,116
other,2384,117
must,2331,118
two,2328,119
well,2320,120
mr,2317,121
against,2315,122
went,2306,123
much,2289,124
make,2246,125
own,2214,126
children,2214,127
yet,2201,128
also,2183,129
again,2083,130
land,2061,131
old,2033,132
father,2007,133
away,2006,134
can,1996,135
things,1963,136
might,1955,137
thing,1942,138
o,1940,139
first,1911,140
because,1878,141
way,1868,142
mrs,1838,143
give,1814,144
never,1806,145
where,1801,146
take,1788,147
nor,1779,148
saying,1741,149
long,1701,150
though,1698,151
its,1682,152
has,1681,153
himself,1678,154
think,1677,155
shalt,1673,156
those,1658,157
being,1644,158
here,1643,159
earth,1633,160
therefore,1626,161
saw,1617,162
ever,1609,163
heard,1589,164
put,1588,165
through,1583,166
without,1575,167
many,1574,168
off,1541,169
place,1534,170
most,1514,171
behold,1468,172
heart,1449,173
name,1449,174
too,1444,175
nothing,1431,176
eyes,1421,177
whom,1419,178
among,1405,179
head,1397,180
life,1364,181
thus,1363,182
still,1344,183
thought,1334,184
just,1320,185
done,1312,186
last,1312,187
days,1306,188
word,1280,189
saith,1267,190
face,1264,191
found,1263,192
same,1246,193
voice,1244,194
took,1238,195
why,1231,196
brought,1229,197
hast,1228,198
hear,1225,199
another,1224,200
world,1223,201
sons,1216,202
while,1206,203
forth,1187,204
three,1187,205
sea,1183,206
set,1174,207
miss,1171,208
