Name,Country Code,Day of Week,Start Time,End Time
Rosso Pomodoro,AU,1,1800,2200
Rosso Pomodoro,AU,2,1800,2200
Rosso Pomodoro,AU,3,1800,2200
Rosso Pomodoro,AU,4,1800,2200
Rosso Pomodoro,AU,5,1800,2200
Rosso Pomodoro,AU,6,1800,2200
Little Bird,AU,0,0700,1500
Little Bird,AU,1,0700,1500
Little Bird,AU,2,0700,1500
Little Bird,AU,3,0700,1500
Little Bird,AU,4,0700,1500
Little Bird,AU,5,0800,1400
Little Bird,AU,6,0800,1400
Buvette Bistro & Winebar,AU,0,0630,1030
Buvette Bistro & Winebar,AU,1,0630,2230
Buvette Bistro & Winebar,AU,2,0630,2230
Buvette Bistro & Winebar,AU,3,0630,2230
Buvette Bistro & Winebar,AU,4,0630,2230
Buvette Bistro & Winebar,AU,5,0630,1030
Buvette Bistro & Winebar,AU,5,1800,2230
Buvette Bistro & Winebar,AU,6,0630,1030
Chairman & Yip,AU,1,1200,1430
Chairman & Yip,AU,1,1800,2300
Chairman & Yip,AU,2,1200,1430
Chairman & Yip,AU,2,1800,2300
Chairman & Yip,AU,3,1200,1430
Chairman & Yip,AU,3,1800,2300
Chairman & Yip,AU,4,1200,1430
Chairman & Yip,AU,4,1800,2300
Chairman & Yip,AU,5,1800,2300
Porkies Barbque,AU,2,1130,1430
Porkies Barbque,AU,2,1730,2030
Porkies Barbque,AU,3,1130,1430
Porkies Barbque,AU,3,1730,2030
Porkies Barbque,AU,4,1130,1430
Porkies Barbque,AU,4,1730,2030
Porkies Barbque,AU,5,1130,1430
Porkies Barbque,AU,5,1730,2030
Porkies Barbque,AU,6,1130,1430
Porkies Barbque,AU,6,1730,2030
Crust Pizza,AU,0,1600,2130
Crust Pizza,AU,1,1600,2130
Crust Pizza,AU,2,1600,2130
Crust Pizza,AU,3,1600,2200
Crust Pizza,AU,4,1600,2200
Crust Pizza,AU,5,1600,2200
Crust Pizza,AU,6,1600,2200
Outback Jack's,AU,0,1100,2300
Outback Jack's,AU,1,1100,2300
Outback Jack's,AU,2,1100,2300
Outback Jack's,AU,3,1100,2300
Outback Jack's,AU,4,1100,2300
Outback Jack's,AU,5,1100,2300
Outback Jack's,AU,6,1100,2300
Punjabi Junction,AU,0,1130,1430
Punjabi Junction,AU,0,1700,2230
Punjabi Junction,AU,1,1130,1430
Punjabi Junction,AU,1,1700,2230
Punjabi Junction,AU,2,1130,1430
Punjabi Junction,AU,2,1700,2230
Punjabi Junction,AU,3,1130,1430
Punjabi Junction,AU,3,1700,2230
Punjabi Junction,AU,4,1130,1430
