Name,Country Code,Day of Week,Start Time Hour,End Time Hour,Start Time Minute, End Time Minute
Rosso Pomodoro,AU,1,18,00,22,00
Rosso Pomodoro,AU,2,18,00,22,00
Rosso Pomodoro,AU,3,18,00,22,00
Rosso Pomodoro,AU,4,18,00,22,00
Rosso Pomodoro,AU,5,18,00,22,00
Rosso Pomodoro,AU,6,18,00,22,00
Little Bird,AU,0,07,00,15,00
Little Bird,AU,1,07,00,15,00
Little Bird,AU,2,07,00,15,00
Little Bird,AU,3,07,00,15,00
Little Bird,AU,4,07,00,15,00
Little Bird,AU,5,08,00,14,00
Little Bird,AU,6,08,00,14,00
Buvette Bistro & Winebar,AU,0,06,30,10,30
Buvette Bistro & Winebar,AU,1,06,30,22,30
Buvette Bistro & Winebar,AU,2,06,30,22,30
Buvette Bistro & Winebar,AU,3,06,30,22,30
Buvette Bistro & Winebar,AU,4,06,30,22,30
Buvette Bistro & Winebar,AU,5,06,30,10,30
Buvette Bistro & Winebar,AU,5,18,00,22,30
Buvette Bistro & Winebar,AU,6,06,30,10,30
Chairman & Yip,AU,1,12,00,14,30
Chairman & Yip,AU,1,18,00,23,00
Chairman & Yip,AU,2,12,00,14,30
Chairman & Yip,AU,2,18,00,23,00
Chairman & Yip,AU,3,12,00,14,30
Chairman & Yip,AU,3,18,00,23,00
Chairman & Yip,AU,4,12,00,14,30
Chairman & Yip,AU,4,18,00,23,00
Chairman & Yip,AU,5,18,00,23,00
Porkies Barbque,AU,2,11,30,14,30
Porkies Barbque,AU,2,17,30,20,30
Porkies Barbque,AU,3,11,30,14,30
Porkies Barbque,AU,3,17,30,20,30
Porkies Barbque,AU,4,11,30,14,30
Porkies Barbque,AU,4,17,30,20,30
Porkies Barbque,AU,5,11,30,14,30
Porkies Barbque,AU,5,17,30,20,30
Porkies Barbque,AU,6,11,30,14,30
Porkies Barbque,AU,6,17,30,20,30
Crust Pizza,AU,0,16,00,21,30
Crust Pizza,AU,1,16,00,21,30
Crust Pizza,AU,2,16,00,21,30
Crust Pizza,AU,3,16,00,22,00
Crust Pizza,AU,4,16,00,22,00
Crust Pizza,AU,5,16,00,22,00
Crust Pizza,AU,6,16,00,22,00
Outback Jack's,AU,0,11,00,23,00
Outback Jack's,AU,1,11,00,23,00
Outback Jack's,AU,2,11,00,23,00
Outback Jack's,AU,3,11,00,23,00
Outback Jack's,AU,4,11,00,23,00
Outback Jack's,AU,5,11,00,23,00
Outback Jack's,AU,6,11,00,23,00
Punjabi Junction,AU,0,11,30,14,30
Punjabi Junction,AU,0,17,00,22,30
Punjabi Junction,AU,1,11,30,14,30
