,Title,Awards,Wins,Nominations,Bafta_Nominations,Oscar_Nominations,Prime_Nominations,Golden_Globe_Nominations,Bafta_Wins,Oscar_Wins,Prime_Wins,Golden_Globe_Wins
0,Book of Love: The Definitive Reason Why Men Are Dogs,,0,0,0,0,0,0,0,0,0,0
1,Anderssons älskarinna,,0,0,0,0,0,0,0,0,0,0
2,Bad Blood,,0,0,0,0,0,0,0,0,0,0
3,Who Are You?,1 win & 2 nominations.,1,2,0,0,0,0,0,0,0,0
4,Skeletons in the Closet,1 win.,1,0,0,0,0,0,0,0,0,0
5,Cheerleader Ninjas,1 nomination.,0,1,0,0,0,0,0,0,0,0
6,The Girl from Paris,3 wins & 2 nominations.,3,2,0,0,0,0,0,0,0,0
7,The Final Curtain,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
8,Crush,,0,0,0,0,0,0,0,0,0,0
9,Happy Birthday,,0,0,0,0,0,0,0,0,0,0
10,Run Like Hell,,0,0,0,0,0,0,0,0,0,0
11,Crazy/Beautiful,5 nominations.,0,5,0,0,0,0,0,0,0,0
12,A Death in the Family,,0,0,0,0,0,0,0,0,0,0
13,The Anniversary Party,2 wins & 5 nominations.,2,5,0,0,0,0,0,0,0,0
14,Life as We Know It,,0,0,0,0,0,0,0,0,0,0
15,The Quiet American,Nominated for 1 Oscar. Another 13 wins & 13 nominations.,13,14,0,1,0,0,0,0,0,0
16,100 Centre Street,,0,0,0,0,0,0,0,0,0,0
17,90-60-90,,0,0,0,0,0,0,0,0,0,0
18,Like Cat and Mouse,5 wins & 4 nominations.,5,4,0,0,0,0,0,0,0,0
19,The Abduction Club,,0,0,0,0,0,0,0,0,0,0
20,In Love and War,,0,0,0,0,0,0,0,0,0,0
21,The Sign of Four,,0,0,0,0,0,0,0,0,0,0
22,Adrian Mole: The Cappuccino Years,,0,0,0,0,0,0,0,0,0,0
23,Amores querer con alevosía,,0,0,0,0,0,0,0,0,0,0
24,Punch-Drunk Love,Nominated for 1 Golden Globe. Another 14 wins & 34 nominations.,14,35,0,0,0,1,0,0,0,0
25,Romeo,3 wins & 2 nominations.,3,2,0,0,0,0,0,0,0,0
26,The Kiss,,0,0,0,0,0,0,0,0,0,0
27,Avoir su...,,0,0,0,0,0,0,0,0,0,0
28,Academia de baile Gloria,1 nomination.,0,1,0,0,0,0,0,0,0,0
29,Cet amour-là,,0,0,0,0,0,0,0,0,0,0
30,The Weakest Link,,0,0,0,0,0,0,0,0,0,0
31,Return to Never Land,5 nominations.,0,5,0,0,0,0,0,0,0,0
32,Agnes,,0,0,0,0,0,0,0,0,0,0
33,All Souls,,0,0,0,0,0,0,0,0,0,0
34,Better Luck Tomorrow,1 win & 2 nominations.,1,2,0,0,0,0,0,0,0,0
35,The Life and Lyrics of Kirsty MacColl,,0,0,0,0,0,0,0,0,0,0
36,The Secret Passage: A Journey of Black Women and Depression,,0,0,0,0,0,0,0,0,0,0
37,A Grande Família,22 wins & 44 nominations.,22,44,0,0,0,0,0,0,0,0
38,El lado oscuro del corazón 2,1 win & 3 nominations.,1,3,0,0,0,0,0,0,0,0
39,Slap Shot 2: Breaking the Ice,1 win & 8 nominations.,1,8,0,0,0,0,0,0,0,0
40,25 minuten,,0,0,0,0,0,0,0,0,0,0
41,Aftershock,,0,0,0,0,0,0,0,0,0,0
42,Doppelganger,,0,0,0,0,0,0,0,0,0,0
43,Van Wilder: Party Liaison,2 nominations.,0,2,0,0,0,0,0,0,0,0
44,Abogados,,0,0,0,0,0,0,0,0,0,0
45,Passion and Prejudice,,0,0,0,0,0,0,0,0,0,0
46,Chains of Love,,0,0,0,0,0,0,0,0,0,0
47,Black Box BRD,6 wins & 1 nomination.,6,1,0,0,0,0,0,0,0,0
48,Des parents pas comme les autres,,0,0,0,0,0,0,0,0,0,0
