winner,score
Abahani Limited,172.0
Abbottabad Falcons,139.45
Abbottabad Region,182.67
Abbottabad Rhinos,165.0
Adelaide Strikers,163.11
Afghanistan,147.88
Andhra,130.69
Antigua,146.0
Antigua Hawksbills,106.0
Antigua and Barbuda,153.0
Assam,139.0
Auckland,164.26
Australia,157.55
Australia A,174.0
Azad Jammu & Kashmir Region,123.0
Badureliya Sports Club,155.0
Bahawalpur Region,154.6
Bahawalpur Stags,149.17
Baluchistan,217.0
Bangladesh,145.13
Bangladesh A,166.0
Bangladesh XI,132.0
Barbados,120.85
Barbados Tridents,147.62
Barisal Bulls,157.75
Barisal Burners,154.73
Barisal Division,118.0
Baroda,148.71
Basnahira,141.67
Basnahira Cricket Dundee,129.0
Basnahira Greens,139.0
Basnahira North,126.0
Basnahira South,160.62
Bengal,154.76
Bermuda,149.5
Bloomfield Cricket and Athletic Club,124.17
Boland,146.57
Border,135.7
Brisbane Heat,181.43
Burgher Recreation Club,132.4
Canada,133.58
Canterbury,161.9
Cape Cobras,155.15
Central Districts,165.91
Centrals,117.0
Chennai Super Kings,167.34
Chilaw Marians Cricket Club,155.75
Chittagong Kings,159.1
Chittagong Vikings,162.5
Colombo Commandos,155.0
Colombo Cricket Club,161.75
Colts Cricket Club,157.56
Combined Campuses and Colleges,134.5
Combined Provinces,156.0
Comilla Victorians,138.86
Deccan Chargers,153.92
Delhi,145.94
Delhi Daredevils,156.44
Derbyshire,150.48
Dhaka Division,130.0
Dhaka Dynamites,138.8
Dhaka Gladiators,172.67
Dhaka Metropolis,168.5
Dolphins,157.18
Durham,159.14
Duronto Rajshahi,149.4
Eagles,152.08
Eastern Cape,116.0
Eastern Province,135.0
Easterns,148.33
Easterns (Zimbabwe),144.25
England,157.76
England Lions,149.33
Essex,167.34
FATA Cheetas,140.0
Faisalabad Wolves,149.59
Federally Administered Tribal Areas,139.5
Free State,150.9
Galle Cricket Club,109.0
Galle Guardians,145.33
Gauteng,135.11
Glamorgan,153.77
Gloucestershire,154.64
Goa,154.9
Grenada,122.0
Griqualand West,138.44
Gujarat,153.85
Gujarat Lions,161.0
Guyana,139.57
Guyana Amazon Warriors,136.07
Habib Bank Limited,139.4
Hambantota Troopers,132.5
Hampshire,161.8
Haryana,138.15
Himachal Pradesh,138.23
Hobart Hurricanes,174.73
Hong Kong,129.67
Hyderabad (India),164.33
Hyderabad Hawks,160.29
Hyderabad Region,175.0
India,148.18
India A,214.0
Ireland,129.08
Islamabad,151.0
Islamabad Leopards,135.33
Islamabad United,149.86
Italy,130.2
Jamaica,117.36
Jamaica Tallawahs,151.81
Jersey,107.0
Jharkhand,130.9
Kandurata,141.67
Kandurata Maroons,132.0
Kandurata Warriors,155.0
Kandy Crusaders,156.0
Karachi Blues,169.5
Karachi Kings,154.5
Karachi Region Blues,185.0
Karachi Whites,161.0
Karachi Zebras,159.11
Karnataka,134.33
Kent,157.57
Kenya,146.0
Kerala,145.45
Khan Research Laboratories,131.67
Khan Research Labs,131.67
Khulna Division,134.0
Khulna Royal Bengals,168.8
Khulna Titans,133.0
Khyber Pakhtunkhwa,146.0
Kings XI Punjab,169.25
Knights,156.82
Kochi Tuskers Kerala,129.67
Kolkata Knight Riders,150.43
Kurunegala Warriors,143.5
Kurunegala Youth Cricket Club,148.0
KwaZulu-Natal,137.2
KwaZulu-Natal Inland,137.25
Lahore Blues,136.0
Lahore Eagles,165.08
Lahore Lions,159.53
Lahore Qalandars,179.0
Lahore Region Blues,125.5
Lahore Region Whites,169.0
Lahore Whites,162.67
Lancashire,156.15
Lankan Cricket Club,93.0
Larkana Region,142.0
Leicestershire,156.27
Lions,156.81
Madhya Pradesh,143.32
Maharashtra,144.88
Mashonaland Eagles,158.29
Matabeleland Tuskers,140.33
Melbourne Renegades,142.0
Melbourne Stars,150.87
Mid West Rhinos,153.43
Middlesex,153.7
Mohammedan Sporting Club,130.0
Montserrat,70.0
Moors Sports Club,144.86
Mountaineers,158.86
Multan Region,147.5
Multan Tigers,132.12
Mumbai,154.0
Mumbai Indians,166.91
Nagenahira Nagas,134.0
Namibia,158.0
National Bank of Pakistan,81.0
Nepal,132.0
Netherlands,141.08
Nevis,104.0
New South Wales,137.5
New Zealand,154.35
New Zealand A,227.0
Nondescripts Cricket Club,159.56
North Island,127.0
North West,168.89
Northamptonshire,163.08
Northern Cape,162.33
Northern Districts,159.88
Northerns,129.5
Northerns (Zimbabwe),198.5
Nottinghamshire,168.41
Odisha,146.5
Orissa,140.67
Otago,169.0
Pakistan,153.42
Pakistan A,189.0
Pakistan International Airlines,139.75
Pakistan Television,143.0
Panadura Sports Club,133.67
Perth Scorchers,157.94
Peshawar,140.0
Peshawar Panthers,146.0
Peshawar Region,170.0
Peshawar Zalmi,145.0
Police Sports Club,174.0
Port Qasim Authority,190.0
Prime Bank Cricket Club,149.0
Pune Warriors,151.0
Punjab,131.8
Queensland,170.14
Quetta Gladiators,146.0
Ragama Cricket Club,150.62
Railways,140.92
Rajasthan,152.45
Rajasthan Royals,156.41
Rajshahi Division,131.0
Rangpur Riders,137.89
Rawalpindi Rams,163.67
Rising Pune Supergiants,147.0
Royal Challengers Bangalore,163.96
Ruhuna,150.62
Ruhuna Royals,145.0
Saracens Sports Club,142.5
Saurashtra,144.0
Scotland,140.6
Sebastianites Cricket and Athletic Club,139.0
Services,109.0
Sialkot Region,163.0
Sialkot Stallions,169.0
Sinhalese Sports Club,158.25
Somerset,180.33
South Africa,159.52
South Australia,163.38
South Western Districts,133.6
Southern Rocks,122.0
Sri Lanka,161.53
Sri Lanka A,140.38
Sri Lanka Air Force Sports Club,143.0
Sri Lanka Army,128.5
