city,title,title
Atlanta,American (New),50
Atlanta,American (Traditional),24
Atlanta,Asian Fusion,9
Atlanta,Bakeries,2
Atlanta,Barbeque,7
Atlanta,Bars,11
Atlanta,Beer Bar,1
Atlanta,Beer Gardens,1
Atlanta,Beer Wine & Spirits,1
Atlanta,Breakfast & Brunch,15
Atlanta,Breweries,3
Atlanta,Buffets,1
Atlanta,Burgers,15
Atlanta,Cafes,4
Atlanta,Cajun/Creole,3
Atlanta,Caribbean,2
Atlanta,Chicken Shop,2
Atlanta,Chicken Wings,3
Atlanta,Chinese,2
Atlanta,Cocktail Bars,13
Atlanta,Coffee & Tea,2
Atlanta,Comfort Food,3
Atlanta,Cuban,1
Atlanta,Delis,3
Atlanta,Desserts,4
Atlanta,Dive Bars,2
Atlanta,Ethiopian,1
Atlanta,Fast Food,3
Atlanta,French,2
Atlanta,Gastropubs,8
Atlanta,German,1
Atlanta,Gluten-Free,1
Atlanta,Halal,1
Atlanta,Hawaiian,1
Atlanta,Hot Dogs,2
Atlanta,Indian,1
Atlanta,Italian,10
Atlanta,Japanese,2
Atlanta,Juice Bars & Smoothies,1
Atlanta,Korean,9
Atlanta,Latin American,1
Atlanta,Mediterranean,7
Atlanta,Mexican,2
Atlanta,Middle Eastern,1
Atlanta,Modern European,1
Atlanta,Mongolian,1
Atlanta,Music Venues,2
Atlanta,Noodles,3
Atlanta,Pakistani,1
Atlanta,Persian/Iranian,1
Atlanta,Pizza,5
Atlanta,Poke,2
Atlanta,Pubs,2
Atlanta,Salad,6
Atlanta,Sandwiches,4
Atlanta,Seafood,9
Atlanta,Seafood Markets,1
Atlanta,Soul Food,6
Atlanta,Soup,3
Atlanta,Southern,24
Atlanta,Spanish,2
Atlanta,Specialty Food,1
Atlanta,Sports Bars,1
Atlanta,Steakhouses,5
Atlanta,Sushi Bars,5
Atlanta,Tapas Bars,5
Atlanta,Tapas/Small Plates,7
Atlanta,Tex-Mex,1
Atlanta,Thai,2
Atlanta,Turkish,1
Atlanta,Vegan,1
Atlanta,Vegetarian,4
Atlanta,Venues & Event Spaces,1
Atlanta,Vietnamese,3
Atlanta,Wine Bars,3
Auckland,American (Traditional),2
Auckland,Asian Fusion,10
Auckland,Bagels,2
Auckland,Bakeries,1
Auckland,Barbeque,4
Auckland,Bars,20
Auckland,Beer Bar,3
Auckland,Beer Wine & Spirits,1
Auckland,Bistros,4
Auckland,Brasseries,2
Auckland,Brazilian,1
Auckland,Breakfast & Brunch,23
Auckland,British,1
Auckland,Burgers,7
Auckland,Cafes,27
Auckland,Chinese,8
Auckland,Cocktail Bars,6
Auckland,Coffee & Tea,17
Auckland,Creperies,1
Auckland,Dance Clubs,1
Auckland,Delicatessen,1
Auckland,Delis,1
Auckland,Desserts,11
Auckland,Dim Sum,1
Auckland,Diners,1
Auckland,Fast Food,10
Auckland,Filipino,1
Auckland,Fish & Chips,4
Auckland,Florists,1
Auckland,Food Court,1
Auckland,Food Trucks,1
Auckland,French,5
Auckland,Gastropubs,5
Auckland,Greek,1
Auckland,Grocery,1
Auckland,Hookah Bars,1
Auckland,Ice Cream & Frozen Yogurt,1
Auckland,Imported Food,1
Auckland,Indian,4
Auckland,Italian,14
Auckland,Japanese,10
Auckland,Kebab,1
Auckland,Korean,4
Auckland,Kosher,1
Auckland,Latin American,1
Auckland,Lebanese,1
Auckland,Live/Raw Food,4
Auckland,Lounges,2
Auckland,Malaysian,7
Auckland,Mediterranean,2
Auckland,Mexican,4
Auckland,Middle Eastern,1
Auckland,Modern European,16
Auckland,Music Venues,1
Auckland,New Zealand,5
Auckland,Organic Stores,1
Auckland,Patisserie/Cake Shop,1
Auckland,Pizza,14
Auckland,Pubs,3
Auckland,Ramen,1
Auckland,Salad,1
Auckland,Sandwiches,2
Auckland,Seafood,16
Auckland,Soup,5
Auckland,Southern,1
Auckland,Spanish,1
Auckland,Steakhouses,7
Auckland,Street Vendors,2
Auckland,Sushi Bars,2
Auckland,Tapas Bars,2
Auckland,Tapas/Small Plates,5
Auckland,Thai,5
Auckland,Vegetarian,4
Auckland,Venues & Event Spaces,3
Auckland,Vietnamese,6
Auckland,Wine Bars,9
Auckland,Wineries,1
Austin,American (New),42
Austin,American (Traditional),19
Austin,Asian Fusion,11
Austin,Bakeries,2
Austin,Barbeque,6
Austin,Bars,16
Austin,Beer Bar,2
Austin,Beer Gardens,1
Austin,Beer Wine & Spirits,1
Austin,Brasseries,1
Austin,Brazilian,2
Austin,Breakfast & Brunch,21
Austin,Breweries,1
Austin,Burgers,8
Austin,Butcher,1
Austin,Cafes,6
Austin,Cajun/Creole,5
Austin,Caribbean,2
Austin,Chicken Shop,2
Austin,Chicken Wings,1
Austin,Chinese,5
Austin,Cocktail Bars,10
Austin,Coffee & Tea,6
Austin,Coffee Roasteries,1
Austin,Cuban,1
Austin,Delis,3
Austin,Desserts,2
Austin,Dim Sum,1
Austin,Diners,3
Austin,Fast Food,1
Austin,Food Trucks,7
Austin,French,8
Austin,Gastropubs,4
Austin,German,2
Austin,Gluten-Free,3
Austin,Greek,2
Austin,Grocery,1
Austin,Hawaiian,3
Austin,Ice Cream & Frozen Yogurt,1
Austin,Imported Food,1
Austin,Italian,14
Austin,Izakaya,1
Austin,Japanese,4
Austin,Korean,3
Austin,Latin American,2
Austin,Lounges,2
Austin,Mediterranean,3
Austin,Mexican,4
Austin,Modern European,2
Austin,Music Venues,2
Austin,Noodles,1
Austin,Pan Asian,1
Austin,Peruvian,2
Austin,Pizza,9
Austin,Poke,3
Austin,Pubs,3
Austin,Ramen,2
Austin,Salad,7
Austin,Sandwiches,11
Austin,Seafood,9
Austin,Smokehouse,1
Austin,Soul Food,1
Austin,Soup,1
Austin,Southern,8
Austin,Spanish,1
Austin,Specialty Food,1
Austin,Steakhouses,3
