id,city,title,alias
80-proof-sydney,Sydney,Bars,bars
80-proof-sydney,Sydney,Australian,australian
alpha-restaurant-sydney,Sydney,Greek,greek
ambar-sydney,Sydney,Australian,australian
ambar-sydney,Sydney,Bars,bars
aria-restaurant-sydney-sydney,Sydney,Australian,australian
bambini-trust-cafe-and-wine-room-sydney,Sydney,Cafes,cafes
bambini-trust-cafe-and-wine-room-sydney,Sydney,Modern European,modern_european
bambini-trust-cafe-and-wine-room-sydney,Sydney,Wine Bars,wine_bars
bang-street-food-sydney,Sydney,Bangladeshi,bangladeshi
bar-luca-sydney,Sydney,Venues & Event Spaces,venues
bar-luca-sydney,Sydney,Bars,bars
bar-luca-sydney,Sydney,Burgers,burgers
bar-tapavino-sydney,Sydney,Spanish,spanish
bar-tapavino-sydney,Sydney,Wine Bars,wine_bars
barista-and-cook-sydney,Sydney,Coffee & Tea,coffee
barista-and-cook-sydney,Sydney,Breakfast & Brunch,breakfast_brunch
barrio-cellar-sydney,Sydney,Cocktail Bars,cocktailbars
barrio-cellar-sydney,Sydney,Mexican,mexican
barrio-cellar-sydney,Sydney,Burgers,burgers
belly-bao-sydney,Sydney,Asian Fusion,asianfusion
bennelong-sydney-2,Sydney,Australian,australian
bennelong-sydney-2,Sydney,Bars,bars
berta-sydney,Sydney,Italian,italian
black-bar-and-grill-sydney,Sydney,Modern Australian,modern_australian
black-bar-and-grill-sydney,Sydney,Steakhouses,steak
blackbird-and-co-cafe-sydney,Sydney,Cafes,cafes
blackbird-and-co-cafe-sydney,Sydney,Coffee & Tea,coffee
blackbird-and-co-cafe-sydney,Sydney,Breakfast & Brunch,breakfast_brunch
blaq-piq-sydney,Sydney,Breakfast & Brunch,breakfast_brunch
blaq-piq-sydney,Sydney,Coffee & Tea,coffee
bodhi-bar-sydney-2,Sydney,Vegan,vegan
bodhi-bar-sydney-2,Sydney,Vegetarian,vegetarian
bodhi-bar-sydney-2,Sydney,Dim Sum,dimsum
braza-churrascaria-sydney,Sydney,Brazilian,brazilian
braza-churrascaria-sydney,Sydney,Bars,bars
burger-project-sydney,Sydney,Burgers,burgers
celsius-coffee-co-sydney,Sydney,Coffee & Tea,coffee
celsius-coffee-co-sydney,Sydney,Breakfast & Brunch,breakfast_brunch
chat-thai-sydney-5,Sydney,Thai,thai
chefs-gallery-townhall-sydney,Sydney,Chinese,chinese
chefs-gallery-townhall-sydney,Sydney,Noodles,noodles
chilli-cha-cha-sydney,Sydney,Thai,thai
chilli-cha-cha-sydney,Sydney,Asian Fusion,asianfusion
chinese-noodle-restaurant-sydney,Sydney,Chinese,chinese
chinese-noodle-restaurant-sydney,Sydney,Noodles,noodles
chophouse-sydney,Sydney,Steakhouses,steak
cockle-bay-wharf-sydney-2,Sydney,Restaurants,restaurants
cockle-bay-wharf-sydney-2,Sydney,Social Clubs,social_clubs
