id,title
16579730,Desserts
16585371,Japanese
16585371, Sushi
16573392,Chinese
16573392, Dumplings
16585019,Ramen
16585019, Japanese
16572721,Thai
16576515,Chinese
16577755,Seafood
16578564,Italian
16578564, Pizza
16585172,Spanish
16585172, Tapas
16572688,Coffee and Tea
16574776,Bar Food
16575310,Desserts
16575310, Fast Food
16576423,French
16576423, Desserts
16576423, Coffee and Tea
16581064,Indian
16581561,Desserts
16581561, Fast Food
16582916,Fast Food
16582916, Taiwanese
16583144,Cafe
16583144, Coffee and Tea
16583245,Fast Food
16583245, Taiwanese
16583245, Bubble Tea
16583312,Fast Food
17849578,Vietnamese
16571052,Asian
16571052, Chinese
16571856,Desserts
16571856, Cafe
16572097,Vietnamese
16572097, Pho
16573551,Desserts
16573551, Cafe
16573551, Coffee and Tea
16573622,Thai
16573622, Asian
16574662,Coffee and Tea
16575145,Japanese
16575145, Ramen
16575365,Healthy Food
16575365, Cafe
16575365, Coffee and Tea
16575885,Cafe
16575885, Coffee and Tea
16576085,Cafe
16576085, Sandwich
16576139,Thai
16576205,Chinese
16576316,Vietnamese
16576477,Japanese
16576477, Sushi
16576555,Vietnamese
16576912,Chinese
16576912, Dumplings
16577534,Japanese
16577534, Ramen
16577859,Coffee and Tea
16577859, Desserts
16578197,Thai
16579210,Dumplings
16579210, Chinese
16579213,Dumplings
16579213, Chinese
16579439,Korean
16579439, Japanese
16580386,Burger
16580486,Chinese
16580486, Malaysian
16581703,Asian
16581703, Chinese
16581724,Continental
16582310,Cafe
16582310, Japanese
16582310, Coffee and Tea
16582510,Cafe
16582510, Coffee and Tea
16582735,Vietnamese
16582735, Pho
16582770,Japanese
16583980,Vietnamese
16583980, Fast Food
16584091,Japanese
16584091, Ramen
16584256,Cafe
16584256, Coffee and Tea
16584520,Japanese
16584548,Chinese
16584548, Sichuan
16584552,Indian
16585638,Vietnamese
16585638, Pho
16713857,Korean
16713945,Sandwich
16713945, Cafe
16713945, Coffee and Tea
18250796,Australian
18250796, Fish and Chips
18250796, Burger
18250796, Modern Australian
18250796, Pub Food
18271113,Desserts
18271113, Ice Cream
18359350,Australian
18359350, Sandwich
18359350, Steak
18391866,Indonesian
16571124,Japanese
16571124, Sushi
16571138,European
16571548,Italian
16571548, Pizza
16571553,Italian
16571583,Japanese
16571583, Sushi
16571583, Tapas
16571873,Tapas
16571873, Modern Australian
16572314,Chinese
16572314, Dumplings
16572381,Greek
16572713,Korean BBQ
16572713, Korean
16572727,Spanish
16572727, Tapas
16572844,Thai
16572990,Cafe
16572990, Modern Australian
16573292,Japanese
16573292, Ramen
16573389,Korean BBQ
16573389, Korean
16573665,Cafe
16573665, French
16573906,Japanese
16574125,Asian
16574125, Chinese
16574125, Sichuan
16574644,Bar Food
16574644, Creole
16575124,Pub Food
16575124, Modern Australian
16575983,American
16576335,Korean
16576335, Bar Food
16576366,Italian
16576466,Asian
16576466, Japanese
16576466, Korean
16576489,Korean
16576489, Bar Food
16576489, Asian
16576750,Burger
16577405,Italian
16577863,Japanese
16577863, Tapas
16577897,Italian
16577897, Cafe
16578422,European
16578422, Bar Food
16578442,Asian
16578474,Bar Food
16578733,Japanese
16578733, Ramen
16578871,Modern Australian
16579294,Korean
16579706,Japanese
16579873,Japanese
16579873, Tapas
16579970,Italian
16580267,Malaysian
16580675,Modern Australian
16580693,Bar Food
16580693, Sandwich
16580693, Spanish
16580693, Beverages
16580693, Cafe
16581071,Asian
16581071, Chinese
16581071, Vegetarian
16581166,Japanese
16581166, Korean
16581221,Japanese
16581221, Ramen
16581225,Korean
16581225, Bar Food
16581225, Asian
16581363,Thai
16581462,European
16581462, Cafe
16581462, Coffee and Tea
16581841,Cafe
16581841, American
16581841, Coffee and Tea
