id,city,county,day,start,end,overnight
alpha-restaurant-sydney,Sydney,AU,0,0730,1030,False
alpha-restaurant-sydney,Sydney,AU,0,1200,2300,False
alpha-restaurant-sydney,Sydney,AU,1,0730,1030,False
alpha-restaurant-sydney,Sydney,AU,1,1200,2300,False
alpha-restaurant-sydney,Sydney,AU,2,0730,1030,False
alpha-restaurant-sydney,Sydney,AU,2,1200,2300,False
alpha-restaurant-sydney,Sydney,AU,3,0730,1030,False
alpha-restaurant-sydney,Sydney,AU,3,1200,2300,False
alpha-restaurant-sydney,Sydney,AU,4,0730,1030,False
alpha-restaurant-sydney,Sydney,AU,4,1200,2300,False
alpha-restaurant-sydney,Sydney,AU,5,1200,2300,False
alpha-restaurant-sydney,Sydney,AU,6,1200,2300,False
ambar-sydney,Sydney,AU,0,0700,2000,False
ambar-sydney,Sydney,AU,1,0700,2000,False
ambar-sydney,Sydney,AU,2,0700,2000,False
ambar-sydney,Sydney,AU,3,0700,2300,False
ambar-sydney,Sydney,AU,4,0700,2300,False
aria-restaurant-sydney-sydney,Sydney,AU,0,1200,1430,False
aria-restaurant-sydney-sydney,Sydney,AU,0,1730,2300,False
aria-restaurant-sydney-sydney,Sydney,AU,1,1200,1430,False
aria-restaurant-sydney-sydney,Sydney,AU,1,1730,2300,False
aria-restaurant-sydney-sydney,Sydney,AU,2,1200,1430,False
aria-restaurant-sydney-sydney,Sydney,AU,2,1730,2300,False
aria-restaurant-sydney-sydney,Sydney,AU,3,1200,1430,False
aria-restaurant-sydney-sydney,Sydney,AU,3,1730,2300,False
aria-restaurant-sydney-sydney,Sydney,AU,4,1200,1430,False
aria-restaurant-sydney-sydney,Sydney,AU,4,1730,2300,False
aria-restaurant-sydney-sydney,Sydney,AU,5,1700,2300,False
aria-restaurant-sydney-sydney,Sydney,AU,6,1800,2200,False
bambini-trust-cafe-and-wine-room-sydney,Sydney,AU,0,0700,1100,False
bambini-trust-cafe-and-wine-room-sydney,Sydney,AU,0,1200,1500,False
bambini-trust-cafe-and-wine-room-sydney,Sydney,AU,0,1730,2230,False
bambini-trust-cafe-and-wine-room-sydney,Sydney,AU,1,0700,1100,False
bambini-trust-cafe-and-wine-room-sydney,Sydney,AU,1,1200,1500,False
bambini-trust-cafe-and-wine-room-sydney,Sydney,AU,1,1730,2230,False
bambini-trust-cafe-and-wine-room-sydney,Sydney,AU,2,0700,1100,False
bambini-trust-cafe-and-wine-room-sydney,Sydney,AU,2,1200,1500,False
bambini-trust-cafe-and-wine-room-sydney,Sydney,AU,2,1730,2230,False
bambini-trust-cafe-and-wine-room-sydney,Sydney,AU,3,0700,1100,False
bambini-trust-cafe-and-wine-room-sydney,Sydney,AU,3,1200,1500,False
bambini-trust-cafe-and-wine-room-sydney,Sydney,AU,3,1730,2230,False
bambini-trust-cafe-and-wine-room-sydney,Sydney,AU,4,0700,1100,False
bambini-trust-cafe-and-wine-room-sydney,Sydney,AU,4,1200,1500,False
bambini-trust-cafe-and-wine-room-sydney,Sydney,AU,4,1730,2230,False
