id,rating,time_created,text
80-proof-sydney,4,2015-04-15 03:37:53,Right under my nose! like literally. My colleagues who are regulars here highly recommended this place and yeah they know good food! So yeah what's a veggie...
80-proof-sydney,5,2016-04-13 02:45:30,Great food!  Good portions at a reasonable price. The variety of food choices on the menu was great for a party of seven. Service was quick.
80-proof-sydney,4,2013-06-19 17:15:22,Very chill and cozy place to hang out (Can't comment on weekends but its nice to hang out during the week after work).The tacos are nice and the drink...
alpha-restaurant-sydney,5,2016-07-08 19:34:56,If you're into something fancy this place is your jam. Been there twice and it never disappoints. Just be aware that all the menus are for share so a...
alpha-restaurant-sydney,4,2016-10-22 05:36:00,well if u want to take someone special on date this place is ideal. The menus are to share. We ordered the banquet between 8 of us for a bday and it was...
alpha-restaurant-sydney,5,2015-09-13 18:28:05,Have been here a couple of times now and every time it has been amazinggg!! Service is exceptional and the food fantastic. You always warn yourself not...
ambar-sydney,4,2016-04-14 16:25:38,Almost didn't find this place got stuck in the vast food court purgatory one level down in the MLC centre and consequently arrived late and got stuck with...
ambar-sydney,3,2014-08-06 17:07:38,This is a great "catching up with old work colleagues" place. Pretty central and there's something for everyone. Pretty decent food wines not too bad....
ambar-sydney,4,2015-07-07 02:03:02,Another good place for afterwork drinks. Their happy hour pricese went up last year but still only $5 for house wine and beer - they also usually have a...
aria-restaurant-sydney-sydney,5,2017-04-15 01:28:56,Aria was everything my husband and I hoped for. Traveling to Sydney from NYC on our honeymoon  we hoped for a special evening and we got it.  Being foodies...
aria-restaurant-sydney-sydney,4,2017-04-09 15:02:32,Amazing customer service made a reservation a week prior server picked out my courses based on my dietary requests and pairing preferences. Food was...
aria-restaurant-sydney-sydney,5,2016-06-17 00:22:27,I won a $200 Good Food voucher at work and figured this would be a good time to take my mum to a  fancy dinner she would otherwise refuse to attend. We...
bambini-trust-cafe-and-wine-room-sydney,4,2016-10-22 14:54:20,Bambini is a cozy small restaurant with food and service that approach faultless.  I say approach because when last I dined there the veal cutlet was...
bambini-trust-cafe-and-wine-room-sydney,4,2015-11-09 03:27:41,Really nice place tO have breakfast meeting. Ordered the crab omelette. It was yummy. They are also very good with their coffee!
bambini-trust-cafe-and-wine-room-sydney,2,2015-07-14 01:51:59,I was here today on a business lunch seven of us on a bit of a schedule.Lovely place the decor is a warm brasserie-like place. I ordered the...
bang-street-food-sydney,4,2016-06-05 18:50:39,Delicious dinner!The food here tastes really unique modern and it is very creative !! The mango lassi was excellent. We shared everything and the staff...
bang-street-food-sydney,3,2016-02-13 14:07:08,Ok I don't know why this place advertises as Bangladeshi street food as this food was a far cry from "street" and more like a modern high end...
bang-street-food-sydney,3,2016-02-06 13:35:20,I came here for a work dinner last week off the back of a recommendation from one of my former colleagues so I was really excited to give it a try.We...
bar-luca-sydney,4,2016-12-13 18:29:57,Bar Luca should be on everyone's "must try" list - at least those people who are serious about good burgers.Tip: Don't even THINK about coming here on...
bar-luca-sydney,3,2017-04-05 15:09:50,We ordered the all famous "Blame Canada Burger" and it was pretty delicious! Maple bacon and all! The reason I rated it a 3 star is because:They replace...
bar-luca-sydney,4,2017-04-17 09:16:19,We came here on our first night in Sydney. Loved that it was close to the hotel. Almost didn't go in because it looked super busy. We only had to wait about...
bar-tapavino-sydney,5,2015-08-24 23:16:18,Upstairs is for bookings downstairs is for walk-ins. We arrived at around 8pm without a booking & they managed to fit us in at a cute little outside (lucky...
bar-tapavino-sydney,4,2016-11-25 16:36:20,We stopped by here before heading to the Opera. It's not super close but still walkable. Situated in a back alley it's easy to miss but it adds to the...
