id,name,review_count,price,is_closed,latitude,longitude,city,state,zip_code,country,rating,phone,term,image
80-proof-sydney,80 Proof,5,N/A,False,-33.876675,151.2060103,Sydney,NSW,2000,AU,4.0,+61292627210,restaurants,https://s3-media1.fl.yelpcdn.com/bphoto/l8YhtIUaW9tyhNAcWSPXFQ/o.jpg
alpha-restaurant-sydney,Alpha Restaurant,26,$$$,False,-33.875243,151.209271,Sydney,NSW,2000,AU,4.0,+61290981111,restaurants,https://s3-media4.fl.yelpcdn.com/bphoto/amSYJHJx9CboLGzSK6b08Q/o.jpg
ambar-sydney,Ambar,5,$,False,-33.8681545,151.2093387,Sydney,NSW,2000,AU,4.0,+61292233550,restaurants,https://s3-media3.fl.yelpcdn.com/bphoto/k5KyZoJxReloaMoklh7UHQ/o.jpg
aria-restaurant-sydney-sydney,ARIA Restaurant Sydney,57,$$$$,False,-33.859173,151.213177,Sydney,NSW,2000,AU,3.5,+61292522555,restaurants,https://s3-media2.fl.yelpcdn.com/bphoto/hxspCdINNbPmup_ChKIXyg/o.jpg
bambini-trust-cafe-and-wine-room-sydney,Bambini Trust Cafe & Wine Room,13,$$$,False,-33.8723907,151.2096252,Sydney,NSW,2000,AU,4.0,+61292837098,restaurants,https://s3-media2.fl.yelpcdn.com/bphoto/31fB5oWe_Z7WkvGIUCgvig/o.jpg
bang-street-food-sydney,BANG Street Food,10,$$$,False,-33.8844452,151.2143402,Sydney,NSW,2010,AU,4.0,+61283541096,restaurants,https://s3-media2.fl.yelpcdn.com/bphoto/qjPPKYumPnR1Pt4D70bcRQ/o.jpg
bar-luca-sydney,Bar Luca,37,$$,False,-33.86409,151.21204,Sydney,NSW,2000,AU,4.0,+61292479700,restaurants,https://s3-media1.fl.yelpcdn.com/bphoto/EelTQdk82OHH8HQ11MOIDQ/o.jpg
bar-tapavino-sydney,Bar Tapavino,39,$$$,False,-33.86248,151.209487,Sydney,NSW,2000,AU,4.0,+61292473221,restaurants,https://s3-media1.fl.yelpcdn.com/bphoto/0IpNpKDW0yGD6g_qcyhBWA/o.jpg
barista-and-cook-sydney,Barista & Cook,13,$$,False,-33.9012417,151.2097485,Sydney,NSW,2017,AU,4.0,+61283991234,restaurants,https://s3-media4.fl.yelpcdn.com/bphoto/YpeVZtpgdrniejJhW-Ww3g/o.jpg
barrio-cellar-sydney,Barrio Cellar,14,$$,False,-33.8682079,151.2106611,Sydney,NSW,2000,AU,4.0,+61292327380,restaurants,https://s3-media1.fl.yelpcdn.com/bphoto/VAUyzrDi0ENIfma9svXkrg/o.jpg
belly-bao-sydney,Belly Bao,14,$,False,-33.8762031496196,151.205619201064,Sydney,NSW,2000,AU,4.5,,restaurants,https://s3-media1.fl.yelpcdn.com/bphoto/odeeitN5DDd1pSll45dY2g/o.jpg
bennelong-sydney-2,Bennelong,25,$$$$,False,-33.8568464598148,151.215137746033,Sydney,NSW,2000,AU,4.0,+61292408000,restaurants,https://s3-media3.fl.yelpcdn.com/bphoto/s2BkFMqMIDJQyunckMipnA/o.jpg
berta-sydney,Berta,18,N/A,False,-33.877818,151.210548,Sydney,NSW,2000,AU,4.5,+61292646133,restaurants,https://s3-media3.fl.yelpcdn.com/bphoto/JI6cvUOce_NQOCG4Kgr_cw/o.jpg
black-bar-and-grill-sydney,BLACK Bar & Grill,18,$$$$,False,-33.8675470770504,151.195392608643,Sydney,NSW,2009,AU,4.0,+61296579109,restaurants,https://s3-media3.fl.yelpcdn.com/bphoto/dzm5n_vxVAebhc_M3aQ6pw/o.jpg
blackbird-and-co-cafe-sydney,Blackbird & Co Cafe,5,$,False,-33.9063,151.18745,Sydney,NSW,2043,AU,4.0,+61295161961,restaurants,https://s3-media1.fl.yelpcdn.com/bphoto/Z0PuiKw_eyiQr4aWUo4oow/o.jpg
blaq-piq-sydney,Blaq Piq,15,$$,False,-33.8777,151.21057,Sydney,NSW,2000,AU,4.0,+61292838852,restaurants,https://s3-media2.fl.yelpcdn.com/bphoto/zA25rWKAvJq8mL3Accus-Q/o.jpg
bodhi-bar-sydney-2,Bodhi Bar,54,$$,False,-33.872952,151.213135,Sydney,NSW,2000,AU,4.0,+61293602523,restaurants,https://s3-media4.fl.yelpcdn.com/bphoto/yMKdv0TfounCTZOQBOzK2w/o.jpg
braza-churrascaria-sydney,Braza Churrascaria,22,$$$,False,-33.874489,151.202438,Sydney,NSW,2000,AU,4.0,+61292863733,restaurants,https://s3-media4.fl.yelpcdn.com/bphoto/o-VQDU8lTG7e8ZCU13TI8Q/o.jpg
burger-project-sydney,Burger Project,76,$$,False,-33.8771561,151.2068062,Sydney,NSW,2000,AU,4.0,,restaurants,https://s3-media4.fl.yelpcdn.com/bphoto/BP7Sh1MauYEeDy8VcFH1Xw/o.jpg
celsius-coffee-co-sydney,Celsius Coffee Co,15,$$,False,-33.8494026415366,151.220241702575,Sydney,NSW,2061,AU,4.0,,restaurants,https://s3-media1.fl.yelpcdn.com/bphoto/zAjloG9UojV5LlaZCNuqnw/o.jpg
chat-thai-sydney-5,Chat Thai,109,$$,False,-33.879035,151.2064086,Sydney,NSW,2000,AU,4.0,+61292111808,restaurants,https://s3-media2.fl.yelpcdn.com/bphoto/2zlcV6C7DJCeHuwIXTmWbw/o.jpg
chefs-gallery-townhall-sydney,Chefs Gallery Townhall,82,$$,False,-33.874638,151.20661,Sydney,NSW,2000,AU,4.0,+61292678877,restaurants,https://s3-media3.fl.yelpcdn.com/bphoto/RRf5NjrHDg9tI6W3VeE6yQ/o.jpg
chilli-cha-cha-sydney,Chilli Cha Cha,6,$,False,-33.85645,151.18507,Sydney,NSW,2000,AU,4.0,+61292112025,restaurants,https://s3-media4.fl.yelpcdn.com/bphoto/bNc9pOdKi5LElFEeuu1Cuw/o.jpg
chinese-noodle-restaurant-sydney,Chinese Noodle Restaurant,78,$,False,-33.881177,151.203445,Sydney,NSW,2000,AU,4.0,+61292819051,restaurants,https://s3-media1.fl.yelpcdn.com/bphoto/_4XvboQWIh_yGkvSDg2Pvw/o.jpg
chophouse-sydney,Chophouse,33,$$$,False,-33.8654289,151.210022,Sydney,NSW,2000,AU,4.0,+611300246748,restaurants,https://s3-media2.fl.yelpcdn.com/bphoto/PH1EHhMJ-3sov18r8lPtnw/o.jpg
cockle-bay-wharf-sydney-2,Cockle Bay Wharf,6,$$,False,-33.87162,151.20359,Sydney,NSW,2000,AU,4.0,+61292699800,restaurants,https://s3-media3.fl.yelpcdn.com/bphoto/FhkbzeqM7pD0--dMxoL_5Q/o.jpg
condor-japanese-noodle-restaurant-sydney,Condor Japanese Noodle Restaurant,11,$,False,-33.8645592,151.2051544,Sydney,NSW,2000,AU,3.5,+61292998686,restaurants,https://s3-media3.fl.yelpcdn.com/bphoto/PRYkHnDvgIABPoEKlIoS2Q/o.jpg
contrabando-sydney,Contrabando,23,$$,False,-33.86504,151.21109,Sydney,NSW,2000,AU,4.0,+6192310049,restaurants,https://s3-media1.fl.yelpcdn.com/bphoto/jgBFqzLKcpaYr-Pofa307A/o.jpg
d-and-b-dumplings-and-beer-sydney-2,D&B Dumplings and Beer,3,$$,False,-33.8758838819313,151.215661553776,Sydney,NSW,2010,AU,4.5,+61293314905,restaurants,https://s3-media1.fl.yelpcdn.com/bphoto/ReNKxZ4zophaDqDCk7dejw/o.jpg
dae-jang-kum-korean-bbq-sydney,Dae Jang Kum Korean BBQ,27,$$,False,-33.8778735940077,151.205194513492,Sydney,NSW,2000,AU,4.0,+61292110890,restaurants,https://s3-media2.fl.yelpcdn.com/bphoto/ej_ONT0gFxuKTgzZUYQEYA/o.jpg
din-tai-fung-dumpling-bar-sydney,Din Tai Fung Dumpling Bar,63,$$,False,-33.8703761593871,151.208787123539,Sydney,NSW,2000,AU,4.0,+61282467032,restaurants,https://s3-media1.fl.yelpcdn.com/bphoto/edaNKFbAHtwBrKBKEkGsdg/o.jpg
din-tai-fung-sydney-5,Din Tai Fung,222,$$,False,-33.8776765,151.2070967,Sydney,NSW,2000,AU,4.0,+61292646010,restaurants,https://s3-media1.fl.yelpcdn.com/bphoto/iLiIC0dpr9BGum6c4R7KzA/o.jpg
drunken-rice-sydney,Drunken Rice,6,$,False,-33.8757324,151.207016,Sydney,NSW,2000,AU,4.0,+61292610111,restaurants,https://s3-media3.fl.yelpcdn.com/bphoto/5m7VGA2M2qJwfSpuID4FjA/o.jpg
dumpling-avenue-sydney,Dumpling Avenue,2,$,False,-33.8787251,151.2055233,Sydney,NSW,2000,AU,5.0,+61434834688,restaurants,https://s3-media4.fl.yelpcdn.com/bphoto/2ngIqJ6ra-x4cdAZWxBRbw/o.jpg
encasa-sydney,Encasa,39,$$,False,-33.878671,151.207055,Sydney,NSW,2000,AU,4.0,+61292114257,restaurants,https://s3-media1.fl.yelpcdn.com/bphoto/FmPSU0Kzyqh1QPe8cdQjng/o.jpg
est-sydney,est.,22,$$$$,False,-33.86414,151.20806,Sydney,NSW,2000,AU,4.0,+61292403000,restaurants,https://s3-media2.fl.yelpcdn.com/bphoto/F3EM7V5vR4xBYAm5U-FG4g/o.jpg
feast-restaurant-sheraton-on-the-park-sydney,Feast Restaurant - Sheraton on the Park,6,$$$$,False,-33.8715779861405,151.209906001423,Sydney,NSW,2000,AU,4.5,+61292866000,restaurants,https://s3-media4.fl.yelpcdn.com/bphoto/NWBuTMvgrW5rrkbBI_zMfg/o.jpg
felix-bistro-and-bar-sydney,Felix Bistro & Bar,35,$$$,False,-33.8667225800043,151.207649193566,Sydney,NSW,2000,AU,4.0,+61292403000,restaurants,https://s3-media3.fl.yelpcdn.com/bphoto/5pgruX5Q9QZJYZPgCTIiYg/o.jpg
fish-at-the-rocks-sydney,Fish At The Rocks,26,$$$,False,-33.85859,151.2033099,Sydney,NSW,2000,AU,4.5,+61292524614,restaurants,https://s3-media1.fl.yelpcdn.com/bphoto/UEWY03Kc3AHwqF7XhKxWiQ/o.jpg
fix-wine-bar-restaurant-sydney,Fix Wine Bar + Restaurant,21,$$$,False,-33.8698043,151.2099455,Sydney,NSW,2000,AU,4.5,+61292322767,restaurants,https://s3-media3.fl.yelpcdn.com/bphoto/It2IYmrsXefjIECkmSXxww/o.jpg
food-on-five-food-court-sydney,Food on Five Food Court,22,$$,False,-33.8688197,151.2092955,Sydney,NSW,2000,AU,4.5,+61282369200,restaurants,https://s3-media1.fl.yelpcdn.com/bphoto/skr10DnOAKQHBdS4EwHE4w/o.jpg
frankies-pizza-sydney,Frankie's Pizza,88,$$,False,-33.8658633627003,151.209522485733,Sydney,NSW,2000,AU,4.0,,restaurants,https://s3-media1.fl.yelpcdn.com/bphoto/-kvS8f6-hzGRB2IrNJ69Jw/o.jpg
fratelli-parlamento-sydney,Fratelli Parlamento,6,$$$,False,-33.86858,151.21181,Sydney,NSW,2000,AU,4.0,+61292595672,restaurants,https://s3-media1.fl.yelpcdn.com/bphoto/IO6jvFfZTejXmnVpWzQ4-Q/o.jpg
friggitoria-sydney,Friggitoria,5,$$,False,-33.8749012717781,151.223065365083,Sydney,NSW,2010,AU,4.5,+61416066352,restaurants,https://s3-media4.fl.yelpcdn.com/bphoto/JkiwJT7bOUXhUzHxyvL8hQ/o.jpg
georges-sydney-2,Georges,13,$$$,False,-33.866362,151.202082,Sydney,NSW,2000,AU,4.0,+61292955066,restaurants,https://s3-media2.fl.yelpcdn.com/bphoto/7ba52xwQn1351nWc1KyJ2g/o.jpg
